dia	mes	ano	cota
22	9	2020	105.0
21	9	2020	106.0
20	9	2020	106.0
19	9	2020	107.0
18	9	2020	108.0
17	9	2020	109.0
16	9	2020	110.0
15	9	2020	111.0
14	9	2020	112.0
13	9	2020	113.0
12	9	2020	114.0
11	9	2020	115.0
10	9	2020	116.0
9	9	2020	117.0
8	9	2020	118.0
7	9	2020	119.0
6	9	2020	120.0
5	9	2020	121.0
4	9	2020	121.0
3	9	2020	122.0
2	9	2020	122.0
1	9	2020	122.0
31	7	2020	122.0
30	7	2020	122.0
29	7	2020	122.0
28	7	2020	122.0
27	7	2020	122.0
26	7	2020	122.0
25	7	2020	122.0
24	7	2020	122.0
23	7	2020	122.0
22	7	2020	122.0
21	7	2020	122.0
20	7	2020	123.0
19	7	2020	123.0
18	7	2020	123.0
17	7	2020	123.0
16	7	2020	123.0
15	7	2020	123.0
14	7	2020	123.0
13	7	2020	123.0
12	7	2020	123.0
11	7	2020	123.0
10	7	2020	123.0
9	7	2020	123.0
8	7	2020	123.0
7	7	2020	123.0
6	7	2020	124.0
5	7	2020	124.0
4	7	2020	124.0
3	7	2020	124.0
2	7	2020	124.0
1	7	2020	124.0
30	6	2020	124.0
29	6	2020	124.0
28	6	2020	124.0
27	6	2020	124.0
26	6	2020	125.0
25	6	2020	125.0
24	6	2020	125.0
23	6	2020	125.0
22	6	2020	125.0
21	6	2020	126.0
20	6	2020	126.0
19	6	2020	126.0
18	6	2020	126.0
17	6	2020	126.0
16	6	2020	126.0
15	6	2020	127.0
14	6	2020	127.0
13	6	2020	128.0
12	6	2020	128.0
11	6	2020	128.0
10	6	2020	129.0
9	6	2020	129.0
8	6	2020	129.0
7	6	2020	130.0
6	6	2020	130.0
5	6	2020	131.0
4	6	2020	131.0
3	6	2020	131.0
2	6	2020	132.0
1	6	2020	133.0
31	5	2020	133.0
30	5	2020	134.0
29	5	2020	136.0
28	5	2020	137.0
27	5	2020	139.0
26	5	2020	142.0
25	5	2020	138.0
24	5	2020	135.0
23	5	2020	136.0
22	5	2020	136.0
21	5	2020	137.0
20	5	2020	138.0
19	5	2020	139.0
18	5	2020	140.0
17	5	2020	138.0
16	5	2020	136.0
15	5	2020	137.0
14	5	2020	137.0
13	5	2020	138.0
12	5	2020	139.0
11	5	2020	139.0
10	5	2020	140.0
9	5	2020	140.0
8	5	2020	141.0
7	5	2020	141.0
6	5	2020	142.0
5	5	2020	142.0
4	5	2020	143.0
3	5	2020	143.0
2	5	2020	144.0
1	5	2020	144.0
30	4	2020	144.0
29	4	2020	144.0
28	4	2020	144.0
27	4	2020	145.0
26	4	2020	145.0
25	4	2020	145.0
24	4	2020	146.0
23	4	2020	146.0
22	4	2020	146.0
21	4	2020	147.0
20	4	2020	147.0
19	4	2020	147.0
18	4	2020	147.0
17	4	2020	148.0
16	4	2020	148.0
15	4	2020	150.0
14	4	2020	155.0
13	4	2020	162.0
12	4	2020	161.0
11	4	2020	159.0
10	4	2020	161.0
9	4	2020	152.0
8	4	2020	158.0
7	4	2020	163.0
6	4	2020	168.0
5	4	2020	149.0
4	4	2020	148.0
3	4	2020	148.0
2	4	2020	148.0
1	4	2020	149.0
31	3	2020	149.0
30	3	2020	151.0
29	3	2020	153.0
28	3	2020	154.0
27	3	2020	155.0
26	3	2020	156.0
25	3	2020	157.0
24	3	2020	161.0
23	3	2020	166.0
22	3	2020	154.0
21	3	2020	152.0
20	3	2020	152.0
19	3	2020	153.0
18	3	2020	154.0
17	3	2020	155.0
16	3	2020	156.0
15	3	2020	157.0
14	3	2020	158.0
13	3	2020	159.0
12	3	2020	157.0
11	3	2020	165.0
10	3	2020	174.0
9	3	2020	182.0
8	3	2020	193.0
7	3	2020	194.0
6	3	2020	180.0
5	3	2020	169.0
4	3	2020	167.0
3	3	2020	178.0
2	3	2020	185.0
1	3	2020	169.0
29	2	2020	160.0
28	2	2020	149.0
27	2	2020	144.0
26	2	2020	145.0
25	2	2020	147.0
24	2	2020	151.0
23	2	2020	146.0
22	2	2020	141.0
21	2	2020	142.0
20	2	2020	143.0
19	2	2020	144.0
18	2	2020	146.0
17	2	2020	148.0
16	2	2020	150.0
15	2	2020	152.0
14	2	2020	154.0
13	2	2020	157.0
12	2	2020	160.0
11	2	2020	164.0
10	2	2020	168.0
9	2	2020	175.0
8	2	2020	182.0
7	2	2020	190.0
6	2	2020	199.0
28	1	2020	315.0
27	1	2020	369.0
25	1	2020	186.0
24	1	2020	162.0
23	1	2020	148.0
22	1	2020	140.0
21	1	2020	131.0
20	1	2020	118.0
19	1	2020	118.0
18	1	2020	119.0
17	1	2020	119.0
16	1	2020	120.0
15	1	2020	120.0
14	1	2020	121.0
13	1	2020	121.0
12	1	2020	122.0
11	1	2020	122.0
10	1	2020	123.0
9	1	2020	124.0
8	1	2020	125.0
7	1	2020	127.0
6	1	2020	123.0
5	1	2020	121.0
4	1	2020	122.0
3	1	2020	122.0
2	1	2020	122.0
1	1	2020	123.0
31	12	2019	123.0
30	12	2019	124.0
29	12	2019	124.0
28	12	2019	125.0
27	12	2019	126.0
26	12	2019	126.0
25	12	2019	127.0
24	12	2019	127.0
23	12	2019	128.0
22	12	2019	128.0
21	12	2019	129.0
20	12	2019	129.0
19	12	2019	130.0
18	12	2019	130.0
17	12	2019	130.0
16	12	2019	132.0
15	12	2019	134.0
14	12	2019	136.0
13	12	2019	139.0
12	12	2019	144.0
11	12	2019	151.0
10	12	2019	156.0
9	12	2019	171.0
8	12	2019	188.0
7	12	2019	184.0
6	12	2019	182.0
5	12	2019	188.0
4	12	2019	196.0
3	12	2019	199.0
2	12	2019	186.0
1	12	2019	152.0
30	11	2019	142.0
29	11	2019	123.0
28	11	2019	118.0
27	11	2019	118.0
26	11	2019	119.0
25	11	2019	119.0
24	11	2019	122.0
23	11	2019	131.0
22	11	2019	137.0
21	11	2019	107.0
20	11	2019	89.0
19	11	2019	78.0
18	11	2019	78.0
17	11	2019	79.0
16	11	2019	79.0
15	11	2019	80.0
14	11	2019	82.0
13	11	2019	85.0
12	11	2019	89.0
11	11	2019	95.0
10	11	2019	101.0
9	11	2019	107.0
8	11	2019	111.0
7	11	2019	115.0
6	11	2019	119.0
5	11	2019	122.0
4	11	2019	130.0
3	11	2019	110.0
2	11	2019	137.0
1	11	2019	104.0
31	10	2019	105.0
30	10	2019	107.0
29	10	2019	109.0
28	10	2019	113.0
27	10	2019	117.0
26	10	2019	126.0
25	10	2019	131.0
24	10	2019	93.0
23	10	2019	80.0
22	10	2019	79.0
21	10	2019	79.0
20	10	2019	79.0
19	10	2019	80.0
18	10	2019	80.0
17	10	2019	80.0
16	10	2019	80.0
15	10	2019	80.0
14	10	2019	81.0
13	10	2019	81.0
12	10	2019	81.0
11	10	2019	83.0
10	10	2019	85.0
9	10	2019	87.0
8	10	2019	83.0
7	10	2019	80.0
6	10	2019	80.0
5	10	2019	80.0
4	10	2019	80.0
3	10	2019	80.0
2	10	2019	80.0
1	10	2019	80.0
30	9	2019	80.0
29	9	2019	81.0
28	9	2019	83.0
27	9	2019	84.0
26	9	2019	79.0
16	7	2019	101.0
15	7	2019	101.0
14	7	2019	101.0
13	7	2019	101.0
12	7	2019	101.0
11	7	2019	102.0
10	7	2019	102.0
9	7	2019	102.0
8	7	2019	102.0
7	7	2019	102.0
6	7	2019	103.0
5	7	2019	103.0
4	7	2019	103.0
3	7	2019	103.0
2	7	2019	103.0
1	7	2019	103.0
30	6	2019	103.0
29	6	2019	103.0
28	6	2019	103.0
27	6	2019	104.0
26	6	2019	104.0
25	6	2019	104.0
24	6	2019	104.0
23	6	2019	104.0
22	6	2019	104.0
21	6	2019	104.0
20	6	2019	105.0
19	6	2019	105.0
18	6	2019	105.0
17	6	2019	105.0
16	6	2019	105.0
15	6	2019	105.0
14	6	2019	105.0
13	6	2019	106.0
12	6	2019	106.0
11	6	2019	106.0
10	6	2019	106.0
9	6	2019	107.0
8	6	2019	107.0
7	6	2019	107.0
6	6	2019	108.0
5	6	2019	109.0
4	6	2019	110.0
3	6	2019	110.0
2	6	2019	111.0
1	6	2019	113.0
31	5	2019	114.0
30	5	2019	115.0
29	5	2019	116.0
28	5	2019	117.0
27	5	2019	118.0
26	5	2019	119.0
25	5	2019	120.0
24	5	2019	121.0
23	5	2019	122.0
22	5	2019	124.0
21	5	2019	126.0
20	5	2019	128.0
19	5	2019	131.0
18	5	2019	125.0
17	5	2019	120.0
16	5	2019	121.0
15	5	2019	116.0
14	5	2019	116.0
13	5	2019	116.0
12	5	2019	116.0
11	5	2019	116.0
10	5	2019	116.0
9	5	2019	116.0
8	5	2019	116.0
7	5	2019	116.0
6	5	2019	116.0
5	5	2019	116.0
4	5	2019	116.0
3	5	2019	116.0
2	5	2019	116.0
1	5	2019	116.0
30	4	2019	116.0
29	4	2019	116.0
28	4	2019	117.0
27	4	2019	118.0
26	4	2019	120.0
25	4	2019	120.0
24	4	2019	116.0
3	1	2019	305.0
2	1	2019	321.0
1	1	2019	306.0
31	12	2018	268.0
30	12	2018	220.0
29	12	2018	196.0
28	12	2018	168.0
27	12	2018	151.0
26	12	2018	119.0
25	12	2018	110.0
24	12	2018	111.0
23	12	2018	112.0
22	12	2018	113.0
21	12	2018	114.0
20	12	2018	115.0
19	12	2018	117.0
18	12	2018	119.0
17	12	2018	122.0
16	12	2018	126.0
15	12	2018	131.0
14	12	2018	133.0
13	12	2018	135.0
12	12	2018	137.0
11	12	2018	139.0
10	12	2018	142.0
9	12	2018	149.0
8	12	2018	198.0
7	12	2018	137.0
6	12	2018	138.0
5	12	2018	154.0
4	12	2018	193.0
3	12	2018	139.0
2	12	2018	116.0
1	12	2018	115.0
30	11	2018	116.0
29	11	2018	118.0
28	11	2018	122.0
27	11	2018	119.0
26	11	2018	114.0
25	11	2018	112.0
24	11	2018	113.0
23	11	2018	113.0
22	11	2018	113.0
21	11	2018	113.0
20	11	2018	114.0
19	11	2018	115.0
18	11	2018	117.0
17	11	2018	119.0
16	11	2018	121.0
15	11	2018	126.0
14	11	2018	130.0
13	11	2018	136.0
12	11	2018	147.0
11	11	2018	141.0
10	11	2018	137.0
9	11	2018	132.0
8	11	2018	130.0
7	11	2018	127.0
6	11	2018	123.0
5	11	2018	116.0
4	11	2018	115.0
3	11	2018	115.0
2	11	2018	116.0
1	11	2018	118.0
31	10	2018	124.0
30	10	2018	129.0
29	10	2018	131.0
28	10	2018	130.0
27	10	2018	120.0
26	10	2018	109.0
25	10	2018	105.0
24	10	2018	104.0
23	10	2018	104.0
22	10	2018	106.0
21	10	2018	108.0
20	10	2018	104.0
19	10	2018	97.0
18	10	2018	97.0
17	10	2018	97.0
16	10	2018	98.0
15	10	2018	98.0
14	10	2018	99.0
13	10	2018	99.0
12	10	2018	99.0
11	10	2018	100.0
10	10	2018	100.0
9	10	2018	100.0
8	10	2018	100.0
7	10	2018	100.0
6	10	2018	101.0
5	10	2018	101.0
4	10	2018	101.0
3	10	2018	101.0
2	10	2018	101.0
1	10	2018	101.0
30	9	2018	101.0
29	9	2018	102.0
28	9	2018	103.0
27	9	2018	105.0
26	9	2018	110.0
25	9	2018	112.0
24	9	2018	113.0
23	9	2018	116.0
22	9	2018	112.0
21	9	2018	109.0
20	9	2018	107.0
19	9	2018	104.0
18	9	2018	100.0
17	9	2018	100.0
16	9	2018	100.0
15	9	2018	100.0
14	9	2018	101.0
13	9	2018	101.0
12	9	2018	102.0
11	9	2018	102.0
10	9	2018	103.0
9	9	2018	103.0
8	9	2018	104.0
7	9	2018	104.0
6	9	2018	105.0
5	9	2018	105.0
4	9	2018	105.0
3	9	2018	105.0
2	9	2018	105.0
1	9	2018	106.0
31	8	2018	106.0
30	8	2018	106.0
29	8	2018	106.0
28	8	2018	106.0
27	8	2018	106.0
26	8	2018	106.0
25	8	2018	107.0
24	8	2018	107.0
23	8	2018	107.0
22	8	2018	107.0
21	8	2018	107.0
20	8	2018	107.0
19	8	2018	107.0
18	8	2018	107.0
17	8	2018	107.0
16	8	2018	107.0
15	8	2018	107.0
14	8	2018	107.0
13	8	2018	108.0
12	8	2018	108.0
11	8	2018	108.0
10	8	2018	108.0
9	8	2018	108.0
8	8	2018	108.0
7	8	2018	108.0
6	8	2018	108.0
5	8	2018	108.0
4	8	2018	109.0
3	8	2018	109.0
2	8	2018	109.0
1	8	2018	109.0
31	7	2018	109.0
30	7	2018	109.0
29	7	2018	109.0
28	7	2018	109.0
27	7	2018	110.0
26	7	2018	110.0
25	7	2018	110.0
24	7	2018	110.0
23	7	2018	110.0
22	7	2018	110.0
21	7	2018	110.0
20	7	2018	110.0
19	7	2018	110.0
18	7	2018	111.0
17	7	2018	111.0
16	7	2018	111.0
15	7	2018	111.0
14	7	2018	111.0
13	7	2018	112.0
12	7	2018	112.0
11	7	2018	112.0
10	7	2018	113.0
9	7	2018	113.0
8	7	2018	113.0
7	7	2018	114.0
6	7	2018	114.0
5	7	2018	114.0
4	7	2018	115.0
3	7	2018	115.0
2	7	2018	116.0
1	7	2018	116.0
30	6	2018	116.0
29	6	2018	116.0
28	6	2018	116.0
27	6	2018	116.0
26	6	2018	117.0
25	6	2018	117.0
24	6	2018	117.0
23	6	2018	117.0
22	6	2018	117.0
21	6	2018	117.0
20	6	2018	117.0
19	6	2018	118.0
18	6	2018	118.0
17	6	2018	118.0
16	6	2018	118.0
15	6	2018	119.0
14	6	2018	119.0
13	6	2018	119.0
12	6	2018	120.0
11	6	2018	120.0
10	6	2018	120.0
9	6	2018	120.0
8	6	2018	121.0
7	6	2018	121.0
6	6	2018	122.0
5	6	2018	122.0
4	6	2018	123.0
3	6	2018	123.0
2	6	2018	124.0
1	6	2018	124.0
31	5	2018	124.0
30	5	2018	125.0
29	5	2018	127.0
28	5	2018	122.0
27	5	2018	122.0
26	5	2018	122.0
25	5	2018	122.0
24	5	2018	126.0
23	5	2018	122.0
22	5	2018	121.0
21	5	2018	122.0
20	5	2018	122.0
19	5	2018	123.0
18	5	2018	123.0
17	5	2018	124.0
16	5	2018	124.0
15	5	2018	125.0
14	5	2018	125.0
13	5	2018	125.0
12	5	2018	126.0
11	5	2018	127.0
10	5	2018	127.0
9	5	2018	127.0
8	5	2018	130.0
7	5	2018	126.0
6	5	2018	123.0
5	5	2018	124.0
4	5	2018	125.0
3	5	2018	125.0
2	5	2018	126.0
1	5	2018	126.0
30	4	2018	127.0
29	4	2018	127.0
28	4	2018	128.0
27	4	2018	129.0
26	4	2018	129.0
25	4	2018	130.0
24	4	2018	131.0
23	4	2018	132.0
22	4	2018	133.0
21	4	2018	134.0
20	4	2018	135.0
19	4	2018	136.0
18	4	2018	137.0
17	4	2018	139.0
16	4	2018	133.0
15	4	2018	135.0
14	4	2018	137.0
13	4	2018	140.0
12	4	2018	146.0
11	4	2018	151.0
10	4	2018	160.0
9	4	2018	170.0
8	4	2018	168.0
7	4	2018	159.0
6	4	2018	146.0
5	4	2018	137.0
4	4	2018	131.0
3	4	2018	133.0
2	4	2018	135.0
1	4	2018	137.0
31	3	2018	139.0
30	3	2018	143.0
29	3	2018	147.0
28	3	2018	151.0
27	3	2018	158.0
26	3	2018	163.0
25	3	2018	171.0
24	3	2018	178.0
23	3	2018	185.0
22	3	2018	158.0
21	3	2018	139.0
20	3	2018	144.0
19	3	2018	150.0
18	3	2018	154.0
17	3	2018	156.0
16	3	2018	158.0
15	3	2018	165.0
14	3	2018	171.0
13	3	2018	179.0
12	3	2018	165.0
11	3	2018	157.0
10	3	2018	194.0
9	3	2018	128.0
8	3	2018	129.0
7	3	2018	130.0
6	3	2018	130.0
5	3	2018	131.0
4	3	2018	131.0
3	3	2018	132.0
2	3	2018	133.0
1	3	2018	134.0
28	2	2018	135.0
27	2	2018	136.0
26	2	2018	137.0
25	2	2018	138.0
24	2	2018	139.0
23	2	2018	141.0
22	2	2018	143.0
21	2	2018	145.0
20	2	2018	147.0
19	2	2018	149.0
18	2	2018	152.0
17	2	2018	154.0
16	2	2018	157.0
15	2	2018	159.0
14	2	2018	165.0
13	2	2018	172.0
12	2	2018	179.0
11	2	2018	185.0
10	2	2018	189.0
9	2	2018	193.0
8	2	2018	214.0
7	2	2018	239.0
6	2	2018	258.0
5	2	2018	199.0
4	2	2018	177.0
3	2	2018	198.0
2	2	2018	167.0
1	2	2018	131.0
31	1	2018	98.0
30	1	2018	99.0
29	1	2018	99.0
28	1	2018	100.0
27	1	2018	101.0
26	1	2018	101.0
25	1	2018	102.0
24	1	2018	103.0
23	1	2018	103.0
22	1	2018	104.0
21	1	2018	106.0
20	1	2018	108.0
19	1	2018	110.0
18	1	2018	112.0
17	1	2018	114.0
16	1	2018	116.0
15	1	2018	119.0
14	1	2018	122.0
13	1	2018	124.0
12	1	2018	126.0
11	1	2018	130.0
10	1	2018	134.0
9	1	2018	136.0
8	1	2018	138.0
7	1	2018	140.0
6	1	2018	142.0
5	1	2018	146.0
4	1	2018	142.0
3	1	2018	118.0
2	1	2018	119.0
1	1	2018	120.0
